intent,text,annotated_text,split
propose_offer,I'll give you 2000 for 5 hours at berth 1,"I'll give you [2000](price_expression) for [5 hours](time_expression) at [berth 1]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,"Offering 1800 for the cargo, 6 hours","Offering [1800](price_expression) for the cargo, [6 hours](time_expression)",train
propose_offer,I can offer 1500 for 4 hours,I can offer [1500](price_expression) for [4 hours](time_expression),train
propose_offer,We can do 2200 for 7 hours at berth 2,"We can do [2200](price_expression) for [7 hours](time_expression) at [berth 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
propose_offer,Take 2500 for 3 hours,Take [2500](price_expression) for [3 hours](time_expression),train
propose_offer,Pay you 1900 for 8 hours at berth 3,"Pay you [1900](price_expression) for [8 hours](time_expression) at [berth 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,My offer is 1600 for 6h,My offer is [1600](price_expression) for [6h](time_expression),train
propose_offer,We propose 2400 for 5h,We propose [2400](price_expression) for [5h](time_expression),train
propose_offer,Let me offer 1750 for 4h at berth 4,"Let me offer [1750](price_expression) for [4h](time_expression) at [berth 4]{""entity"": ""berth_id"", ""value"": ""berth_4""}",train
propose_offer,I'll pay 2100 for 12 hours,I'll pay [2100](price_expression) for [12 hours](time_expression),train
propose_offer,Our opening offer is 1450 for 10 hours,Our opening offer is [1450](price_expression) for [10 hours](time_expression),train
propose_offer,I'd like to offer 2800 for 2 hours at dock 1,"I'd like to offer [2800](price_expression) for [2 hours](time_expression) at [dock 1]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,"You can have dock 2 for 3000, 9 hours","You can have [dock 2]{""entity"": ""berth_id"", ""value"": ""berth_2""} for [3000](price_expression), [9 hours](time_expression)",train
propose_offer,I'm offering 2600 for 5 hrs,I'm offering [2600](price_expression) for [5 hrs](time_expression),train
propose_offer,We'll give 1200 for 6 hrs at dock 3,"We'll give [1200](price_expression) for [6 hrs](time_expression) at [dock 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,Proposing 5000 for half a day,Proposing [5000](price_expression) for [half a day](time_expression),train
propose_offer,The offer is 4500 for 24 hours at quay 2,"The offer is [4500](price_expression) for [24 hours](time_expression) at [quay 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
propose_offer,I'll do 3500 for 8h,I'll do [3500](price_expression) for [8h](time_expression),train
propose_offer,"Here's my offer, 2300 for seven hours","Here's my offer, [2300](price_expression) for [seven hours](time_expression)",train
propose_offer,We can pay 1950 for a couple of hours at slip 3,"We can pay [1950](price_expression) for [a couple of hours](time_expression) at [slip 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,Offering 2050 euros to dock for 5 hours,Offering [2050 euros](price_expression) to dock for [5 hours](time_expression),train
propose_offer,I propose 1850 euros for 6 hours at pier 4,"I propose [1850 euros](price_expression) for [6 hours](time_expression) at [pier 4]{""entity"": ""berth_id"", ""value"": ""berth_4""}",train
propose_offer,How about we start at 2k for 4 hours,How about we start at [2k](price_expression) for [4 hours](time_expression),train
propose_offer,A berthing fee of 1800 euros for 7 hours,A berthing fee of [1800 euros](price_expression) for [7 hours](time_expression),train
propose_offer,"I'll offer 2000 for the tanker, 3 hours","I'll offer [2000](price_expression) for the [tanker]{""entity"": ""vessel_class"", ""value"": ""tanker""}, [3 hours](time_expression)",train
propose_offer,We can give you 1800 for 8 hours,We can give you [1800](price_expression) for [8 hours](time_expression),train
propose_offer,Let's start at 1500 for 6h at berth one,"Let's start at [1500](price_expression) for [6h](time_expression) at [berth one]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,I want to offer 2200 for 5h,I want to offer [2200](price_expression) for [5h](time_expression),train
propose_offer,For 4h at berth two I'll pay 2500,"For [4h](time_expression) at [berth two]{""entity"": ""berth_id"", ""value"": ""berth_2""} I'll pay [2500](price_expression)",train
propose_offer,You get 1900 for 12 hours,You get [1900](price_expression) for [12 hours](time_expression),train
propose_offer,I'll put up 1600 for 10 hours at berth 1,"I'll put up [1600](price_expression) for [10 hours](time_expression) at [berth 1]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,We're offering 2400 for 2 hours,We're offering [2400](price_expression) for [2 hours](time_expression),train
propose_offer,My proposal is 1750 for 9 hours at berth 2,"My proposal is [1750](price_expression) for [9 hours](time_expression) at [berth 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
propose_offer,I'll cover 2100 for 5 hrs,I'll cover [2100](price_expression) for [5 hrs](time_expression),train
propose_offer,ill give 1450 for 6 hrs berth 3,"ill give [1450](price_expression) for [6 hrs](time_expression) [berth 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,i'll do 2800 for half a day,i'll do [2800](price_expression) for [half a day](time_expression),train
propose_offer,we offer 3000 for 24 hours,we offer [3000](price_expression) for [24 hours](time_expression),train
propose_offer,offering 2600 8h,offering [2600](price_expression) [8h](time_expression),train
propose_offer,can pay 1200 for seven hours,can pay [1200](price_expression) for [seven hours](time_expression),train
propose_offer,gimme berth 4 for 5000 a couple of hours,"gimme [berth 4]{""entity"": ""berth_id"", ""value"": ""berth_4""} for [5000](price_expression) [a couple of hours](time_expression)",train
propose_offer,we can do 4500 5 hours,we can do [4500](price_expression) [5 hours](time_expression),train
propose_offer,ill pay 3500 for 6 hours at dock 1,"ill pay [3500](price_expression) for [6 hours](time_expression) at [dock 1]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,I'll offr 2300 for 4 hours,I'll offr [2300](price_expression) for [4 hours](time_expression),train
propose_offer,"Offering 1950 for the cargo, 7 hours","Offering [1950](price_expression) for the cargo, [7 hours](time_expression)",train
propose_offer,I'll giev you 2050 euros for 3 hours,I'll giev you [2050 euros](price_expression) for [3 hours](time_expression),train
propose_offer,We can offor 1850 euros for 8 hours,We can offor [1850 euros](price_expression) for [8 hours](time_expression),train
propose_offer,My ofer is 2k for 6h at dock 2,"My ofer is [2k](price_expression) for [6h](time_expression) at [dock 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
propose_offer,Maersk Genova: 1800 euros for 5h,[Maersk Genova](vessel_name): [1800 euros](price_expression) for [5h](time_expression),train
propose_offer,"2000 for 4h, dock 3","[2000](price_expression) for [4h](time_expression), [dock 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,"Genoa Star - 1800, 12 hours","[Genoa Star](vessel_name) - [1800](price_expression), [12 hours](time_expression)",train
propose_offer,We would offer 1500 for 10 hours,We would offer [1500](price_expression) for [10 hours](time_expression),test
propose_offer,I can put 2200 on the table for 2 hours,I can put [2200](price_expression) on the table for [2 hours](time_expression),test
propose_offer,Starting bid 2500 for 9 hours at quay 2,"Starting bid [2500](price_expression) for [9 hours](time_expression) at [quay 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",test
propose_offer,I'd pay 1900 to berth for 5 hrs,I'd pay [1900](price_expression) to berth for [5 hrs](time_expression),test
propose_offer,We can manage 1600 for 6 hrs,We can manage [1600](price_expression) for [6 hrs](time_expression),test
propose_offer,Our bid is 2400 for half a day at slip 3,"Our bid is [2400](price_expression) for [half a day](time_expression) at [slip 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",test
propose_offer,MSC Aurora: 1750 over 24 hours,[MSC Aurora](vessel_name): [1750](price_expression) over [24 hours](time_expression),test
propose_offer,I'll stake 2100 for 8h,I'll stake [2100](price_expression) for [8h](time_expression),test
propose_offer,willing to pay 1450 for seven hours,willing to pay [1450](price_expression) for [seven hours](time_expression),test
propose_offer,We tender 2800 for a couple of hours at pier 4,"We tender [2800](price_expression) for [a couple of hours](time_expression) at [pier 4]{""entity"": ""berth_id"", ""value"": ""berth_4""}",test
counter_offer,How about 3000 then,How about [3000](price_expression) then,train
counter_offer,What about 2600 instead,What about [2600](price_expression) instead,train
counter_offer,Can you do 1200,Can you do [1200](price_expression),train
counter_offer,Counter at 5000,Counter at [5000](price_expression),train
counter_offer,Let's meet at 4500,Let's meet at [4500](price_expression),train
counter_offer,I'll go up to 3500,I'll go up to [3500](price_expression),train
counter_offer,Come down to 2300 for 5 hours,Come down to [2300](price_expression) for [5 hours](time_expression),train
counter_offer,How about 1950 for 6 hours instead,How about [1950](price_expression) for [6 hours](time_expression) instead,train
counter_offer,What if we say 2050 euros,What if we say [2050 euros](price_expression),train
counter_offer,Make it 1850 euros for 4 hours,Make it [1850 euros](price_expression) for [4 hours](time_expression),train
counter_offer,I'd counter with 2k,I'd counter with [2k](price_expression),train
counter_offer,Meet me at 1800 euros,Meet me at [1800 euros](price_expression),train
counter_offer,We could do 2000 instead,We could do [2000](price_expression) instead,train
counter_offer,How about 7 hours instead,How about [7 hours](time_expression) instead,train
counter_offer,Let's split it at 1800,Let's split it at [1800](price_expression),train
counter_offer,What about 1500 for 3 hours then,What about [1500](price_expression) for [3 hours](time_expression) then,train
counter_offer,I'll counter at 2200,I'll counter at [2200](price_expression),train
counter_offer,Can you go to 2500,Can you go to [2500](price_expression),train
counter_offer,How about 1900 and 8 hours,How about [1900](price_expression) and [8 hours](time_expression),train
counter_offer,Instead let's do 1600,Instead let's do [1600](price_expression),train
counter_offer,My counter is 2400,My counter is [2400](price_expression),train
counter_offer,Bump it to 1750,Bump it to [1750](price_expression),train
counter_offer,Push it to 2100 for 6h,Push it to [2100](price_expression) for [6h](time_expression),train
counter_offer,"Not 1450, how about a bit more","Not [1450](price_expression), how about a bit more",train
counter_offer,Let's do 2800 rather,Let's do [2800](price_expression) rather,train
counter_offer,How about we meet at 3000,How about we meet at [3000](price_expression),train
counter_offer,"Counter offer, 2600 for 5h","Counter offer, [2600](price_expression) for [5h](time_expression)",train
counter_offer,Can we settle at 1200,Can we settle at [1200](price_expression),train
counter_offer,Raise it to 5000,Raise it to [5000](price_expression),train
counter_offer,I'll do 4500 if you extend to 4h,I'll do [4500](price_expression) if you extend to [4h](time_expression),train
counter_offer,What about 3500 at berth one instead,"What about [3500](price_expression) at [berth one]{""entity"": ""berth_id"", ""value"": ""berth_1""} instead",train
counter_offer,Then make it 2300,Then make it [2300](price_expression),train
counter_offer,Let's land on 1950 for 12 hours,Let's land on [1950](price_expression) for [12 hours](time_expression),train
counter_offer,How about 2050 euros to close this,How about [2050 euros](price_expression) to close this,train
counter_offer,how about 1850 euros then,how about [1850 euros](price_expression) then,train
counter_offer,what about 2k instead,what about [2k](price_expression) instead,train
counter_offer,can u do 1800 euros,can u do [1800 euros](price_expression),train
counter_offer,make it 2000,make it [2000](price_expression),train
counter_offer,counter 1800,counter [1800](price_expression),train
counter_offer,meet me at 1500,meet me at [1500](price_expression),train
counter_offer,gimme 2200 instead,gimme [2200](price_expression) instead,train
counter_offer,bump to 2500 for 10 hours,bump to [2500](price_expression) for [10 hours](time_expression),train
counter_offer,How abuot 1900 then,How abuot [1900](price_expression) then,train
counter_offer,What abt 1600 instaed,What abt [1600](price_expression) instaed,train
counter_offer,Cuonter at 2400,Cuonter at [2400](price_expression),train
counter_offer,Meet me at 1750 insted,Meet me at [1750](price_expression) insted,train
counter_offer,Mkae it 2100 for 2 hours,Mkae it [2100](price_expression) for [2 hours](time_expression),train
counter_offer,1450 then,[1450](price_expression) then,train
counter_offer,2800 instead,[2800](price_expression) instead,train
counter_offer,make it 9 hours,make it [9 hours](time_expression),train
counter_offer,How about 3000 for 5 hrs to close,How about [3000](price_expression) for [5 hrs](time_expression) to close,test
counter_offer,Counter with 2600 instead,Counter with [2600](price_expression) instead,test
counter_offer,Can we land at 1200,Can we land at [1200](price_expression),test
counter_offer,What if I said 5000,What if I said [5000](price_expression),test
counter_offer,Let's compromise at 4500,Let's compromise at [4500](price_expression),test
counter_offer,I'll stretch to 3500,I'll stretch to [3500](price_expression),test
counter_offer,Let's nudge it to 2300 instead,Let's nudge it to [2300](price_expression) instead,test
counter_offer,How about we settle 1950,How about we settle [1950](price_expression),test
counter_offer,"2050 euros then, deal","[2050 euros](price_expression) then, deal",test
counter_offer,meet halfway at 1850 euros,meet halfway at [1850 euros](price_expression),test
accept_deal,Deal,Deal,train
accept_deal,Done,Done,train
accept_deal,OK,OK,train
accept_deal,Agreed,Agreed,train
accept_deal,Sounds good,Sounds good,train
accept_deal,Sure,Sure,train
accept_deal,Let's do it,Let's do it,train
accept_deal,Fine,Fine,train
accept_deal,Accepted,Accepted,train
accept_deal,I accept,I accept,train
accept_deal,That works,That works,train
accept_deal,Works for me,Works for me,train
accept_deal,Perfect,Perfect,train
accept_deal,Yes,Yes,train
accept_deal,You've got a deal,You've got a deal,train
accept_deal,It's a deal,It's a deal,train
accept_deal,That's acceptable,That's acceptable,train
accept_deal,I'll take it,I'll take it,train
accept_deal,Sold,Sold,train
accept_deal,Consider it done,Consider it done,train
accept_deal,Good deal,Good deal,train
accept_deal,Happy with that,Happy with that,train
accept_deal,Let's proceed,Let's proceed,train
accept_deal,I'm in,I'm in,train
accept_deal,Confirmed,Confirmed,train
accept_deal,Absolutely,Absolutely,train
accept_deal,Approved,Approved,train
accept_deal,Take the deal,Take the deal,train
accept_deal,That'll do,That'll do,train
accept_deal,Let's shake on it,Let's shake on it,train
accept_deal,That's settled,That's settled,train
accept_deal,I can live with that,I can live with that,train
accept_deal,We have a deal,We have a deal,train
accept_deal,Go ahead and book it,Go ahead and book it,train
accept_deal,yep,yep,train
accept_deal,yup,yup,train
accept_deal,sure thing,sure thing,train
accept_deal,ok cool,ok cool,train
accept_deal,all good,all good,train
accept_deal,sounds like a plan,sounds like a plan,train
accept_deal,lets go,lets go,train
accept_deal,im good with that,im good with that,train
accept_deal,Deel,Deel,train
accept_deal,Agreeed,Agreeed,train
accept_deal,Souds good,Souds good,train
accept_deal,Acepted,Acepted,train
accept_deal,Perfct,Perfct,train
accept_deal,deal then,deal then,train
accept_deal,agreed then,agreed then,train
accept_deal,"yep, done","yep, done",train
accept_deal,It's a deal then,It's a deal then,test
accept_deal,"Ok, that works","Ok, that works",test
accept_deal,"Sure, let's proceed","Sure, let's proceed",test
accept_deal,"Agreed, we have a deal","Agreed, we have a deal",test
accept_deal,"Yes, I accept that","Yes, I accept that",test
accept_deal,"Fine, good deal","Fine, good deal",test
accept_deal,I'll take that one,I'll take that one,test
accept_deal,That's done then,That's done then,test
accept_deal,"Sounds good, I'm in","Sounds good, I'm in",test
accept_deal,Happy to accept,Happy to accept,test
reject_deal,No,No,train
reject_deal,Too low,Too low,train
reject_deal,No deal,No deal,train
reject_deal,Pass,Pass,train
reject_deal,Not enough,Not enough,train
reject_deal,Decline,Decline,train
reject_deal,Won't work,Won't work,train
reject_deal,That's too low,That's too low,train
reject_deal,No thanks,No thanks,train
reject_deal,Not acceptable,Not acceptable,train
reject_deal,I'll pass,I'll pass,train
reject_deal,Forget it,Forget it,train
reject_deal,No way,No way,train
reject_deal,That doesn't work,That doesn't work,train
reject_deal,Not interested,Not interested,train
reject_deal,Absolutely not,Absolutely not,train
reject_deal,Too expensive,Too expensive,train
reject_deal,That's a no,That's a no,train
reject_deal,We can't accept that,We can't accept that,train
reject_deal,Not good enough,Not good enough,train
reject_deal,I reject that,I reject that,train
reject_deal,Declined,Declined,train
reject_deal,"No, too low","No, too low",train
reject_deal,That price is too low,That price is too low,train
reject_deal,Nope,Nope,train
reject_deal,I'm declining,I'm declining,train
reject_deal,Not happening,Not happening,train
reject_deal,That won't do,That won't do,train
reject_deal,We refuse,We refuse,train
reject_deal,Reject,Reject,train
reject_deal,"No, not enough","No, not enough",train
reject_deal,Hard no,Hard no,train
reject_deal,Can't accept that offer,Can't accept that offer,train
reject_deal,That's unacceptable,That's unacceptable,train
reject_deal,too low man,too low man,train
reject_deal,nah,nah,train
reject_deal,not enough sorry,not enough sorry,train
reject_deal,no deal thanks,no deal thanks,train
reject_deal,cant do that,cant do that,train
reject_deal,nah too low,nah too low,train
reject_deal,not gonna happen,not gonna happen,train
reject_deal,no chance,no chance,train
reject_deal,No thnaks,No thnaks,train
reject_deal,Too lwo,Too lwo,train
reject_deal,Not enguh,Not enguh,train
reject_deal,Declien,Declien,train
reject_deal,Unaccpetable,Unaccpetable,train
reject_deal,way too low,way too low,train
reject_deal,not for that,not for that,train
reject_deal,no from me,no from me,train
reject_deal,"No, we'll pass on that","No, we'll pass on that",test
reject_deal,"No, we'll walk","No, we'll walk",test
reject_deal,Not even close,Not even close,test
reject_deal,Rejected,Rejected,test
reject_deal,We won't take that,We won't take that,test
reject_deal,Way too low for us,Way too low for us,test
reject_deal,"Sorry, no","Sorry, no",test
reject_deal,That's a hard pass,That's a hard pass,test
reject_deal,Can't make that work,Can't make that work,test
reject_deal,"No, decline it","No, decline it",test
query_status,What's your draft,What's your draft,train
query_status,How long do you need,How long do you need,train
query_status,What's your cargo,What's your cargo,train
query_status,What's the IMO,What's the IMO,train
query_status,Status of CMA Lupo,Status of [CMA Lupo](vessel_name),train
query_status,What's the ETA,What's the ETA,train
query_status,Where is Costa Liguria,Where is [Costa Liguria](vessel_name),train
query_status,How big is the tankers,"How big is the [tankers]{""entity"": ""vessel_class"", ""value"": ""tanker""}",train
query_status,What berth is Grimaldi Palermo at,What berth is [Grimaldi Palermo](vessel_name) at,train
query_status,Is Ever Ligure cleared,Is [Ever Ligure](vessel_name) cleared,train
query_status,What's the tonnage,What's the tonnage,train
query_status,How deep is your draft,How deep is your draft,train
query_status,When do you arrive,When do you arrive,train
query_status,What are you carrying,What are you carrying,train
query_status,Give me the status of Aida Sole,Give me the status of [Aida Sole](vessel_name),train
query_status,What's the length of Ponte Vecchio,What's the length of [Ponte Vecchio](vessel_name),train
query_status,Which berth is free,Which berth is free,train
query_status,How long until Blue Marlin docks,How long until [Blue Marlin](vessel_name) docks,train
query_status,Is customs done for Nordic Breeze,Is customs done for [Nordic Breeze](vessel_name),train
query_status,What's the beam of the container vessel,"What's the beam of the [container vessel]{""entity"": ""vessel_class"", ""value"": ""container_vessel""}",train
query_status,Show me Adriatic Pearl's status,Show me [Adriatic Pearl](vessel_name)'s status,train
query_status,Is berth two available,"Is [berth two]{""entity"": ""berth_id"", ""value"": ""berth_2""} available",train
query_status,What's the current weather,What's the current weather,train
query_status,Is berth 1 occupied,"Is [berth 1]{""entity"": ""berth_id"", ""value"": ""berth_1""} occupied",train
query_status,What's the draft of Maersk Genova,What's the draft of [Maersk Genova](vessel_name),train
query_status,Any hazmat on Genoa Star,Any hazmat on [Genoa Star](vessel_name),train
query_status,How many berths are open,How many berths are open,train
query_status,Is tug 1 free,"Is [tug 1]{""entity"": ""tug_name"", ""value"": ""tug_1""} free",train
query_status,Where's tug 2,"Where's [tug 2]{""entity"": ""tug_name"", ""value"": ""tug_2""}",train
query_status,What containers is on MSC Aurora,"What [containers]{""entity"": ""cargo_class"", ""value"": ""containerized_cargo""} is on [MSC Aurora](vessel_name)",train
query_status,What's the priority of CMA Lupo,What's the priority of [CMA Lupo](vessel_name),train
query_status,Is Costa Liguria carrying containerized cargo,"Is [Costa Liguria](vessel_name) carrying [containerized cargo]{""entity"": ""cargo_class"", ""value"": ""containerized_cargo""}",train
query_status,When is Grimaldi Palermo expected,When is [Grimaldi Palermo](vessel_name) expected,train
query_status,What's the status at berth 2,"What's the status at [berth 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
query_status,whats your draft,whats your draft,train
query_status,how long u need,how long u need,train
query_status,wheres Ever Ligure,wheres [Ever Ligure](vessel_name),train
query_status,hows the weather,hows the weather,train
query_status,whats on board,whats on board,train
query_status,which berth is open,which berth is open,train
query_status,is Aida Sole cleared yet,is [Aida Sole](vessel_name) cleared yet,train
query_status,eta,eta,train
query_status,Whats your draeft,Whats your draeft,train
query_status,How lnog do you need,How lnog do you need,train
